数据日期,用户编号,地址码,地区码,测量点名称,相序类型,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,运行容量,计量方式,综合倍率,供电单位
2015/8/9,903474879,04435(1153),4221,分表０２,A相,0,0,0,0,0,0,0,0,0.02,0.46,0.45,0.55,0.41,0.41,0.5,0.33,0.42,0.42,0.43,0.05,0,0,0,0,800,高供高计,100,东新营业班
2015/8/23,903474879,04435(1153),4221,分表０２,A相,0,0,0,0,0,0,0,0,0.36,0.51,0.5,0.5,0.36,0.37,0.37,0.37,0.37,0.37,0.54,0,0,0,0,0,800,高供高计,100,东新营业班
2015/9/2,903474879,04435(1153),4221,分表０２,A相,0,0,0,0,0,0,0,0,0.38,0.38,0.37,0.36,0.37,0.37,0.37,0.37,0.37,0.37,0.53,0.52,0.53,0,0,0,800,高供高计,100,东新营业班
2015/9/2,903474879,04435(1153),4221,分表０２,B相,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.37,0.38,0.5,0.39,0.39,0.38,0.42,0.39,0.39,0.38,0.58,0.58,0.58,0.01,0.01,0.01,800,高供高计,100,东新营业班
2015/9/2,903474879,04435(1153),4221,分表０２,C相,0,0,0,0,0,0,0,0,0.43,0.43,0.43,0.43,0.47,0.43,0.43,0.48,0.44,0.44,0.6,0.6,0.6,0,0.11,0,800,高供高计,100,东新营业班
2015/9/6,903474879,04435(1153),4221,分表０２,A相,0,0,0,0,0,0,0,0,0,0.36,0.36,0.36,0.4,0.36,0.36,0.36,0.36,0.35,0.51,0.01,0,0,0,0,800,高供高计,100,东新营业班
2015/9/9,903474879,04435(1153),4221,分表０２,A相,0,0,0,0,0,0,0,0,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.32,0.02,0,0,0,0,800,高供高计,100,东新营业班
2015/9/9,903474879,04435(1153),4221,分表０２,B相,0,0.01,0,0,0,0,0,0.01,0.31,0.33,0.31,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.33,0.02,0.01,0.01,0,0.01,800,高供高计,100,东新营业班
2015/9/9,903474879,04435(1153),4221,分表０２,C相,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.31,0.31,0.31,0.31,0.31,0.3,0.33,0.03,0.01,0.01,0,0,800,高供高计,100,东新营业班
2015/9/13,903474879,04435(1153),4221,分表０２,A相,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0,0,0,0,0,800,高供高计,100,东新营业班
2015/9/15,903474879,04435(1153),4221,分表０２,A相,0,0,0,0,0,0,0,0,0.06,0.06,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,800,高供高计,100,东新营业班
2015/9/15,903474879,04435(1153),4221,分表０２,B相,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,800,高供高计,100,东新营业班
2015/9/15,903474879,04435(1153),4221,分表０２,C相,0,0,0,0,0,0,0,0,0.07,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,800,高供高计,100,东新营业班
2015/9/17,903474879,04435(1153),4221,分表０２,A相,0,0,0,0,0,0,0,0,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.07,0,0,0,0,800,高供高计,100,东新营业班
2015/9/17,903474879,04435(1153),4221,分表０２,B相,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.07,0.07,0.07,0.08,0.17,0.09,0.08,0.08,0.08,0.09,0.08,0.09,0,0,0.01,0.01,800,高供高计,100,东新营业班
2015/9/17,903474879,04435(1153),4221,分表０２,C相,0,0,0,0,0,0,0,0,0.06,0.06,0.07,0.06,0.06,0.11,0.06,0.06,0.11,0.06,0.07,0.07,0,0,0,0,800,高供高计,100,东新营业班
2015/9/26,903474879,04435(1153),4221,分表０２,A相,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,800,高供高计,100,东新营业班
2015/9/26,903474879,04435(1153),4221,分表０２,B相,0.01,0,0,0.01,0.01,0.01,0,0.01,0.01,0.07,0.06,0.13,0.06,0.05,0.06,0.05,0.05,0.06,0.01,0.01,0,0,0,0.01,800,高供高计,100,东新营业班
2015/9/30,903474879,04435(1153),4221,分表０２,A相,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,800,高供高计,100,东新营业班
