测量点,数据日期,正向有功-总,示数,正向无功-总,示数
主供主表,2016/1/4,"1,430.00",631.55,880,330.86
主供主表,2016/1/5,"1,640.00",633.19,"1,000.00",331.86
主供主表,2016/1/6,"1,630.00",634.82,"1,000.00",332.86
主供主表,2016/1/7,"1,730.00",636.55,980,333.84
主供主表,2016/1/8,"1,590.00",638.14,"1,000.00",334.84
主供主表,2016/1/9,730,638.87,440,335.28
主供主表,2016/1/10,520,639.39,330,335.61
主供主表,2016/1/11,"1,750.00",641.14,"1,050.00",336.66
主供主表,2016/1/12,"1,860.00",643,"1,150.00",337.81
主供主表,2016/1/13,"1,730.00",644.73,"1,040.00",338.85
主供主表,2016/1/14,"1,520.00",646.26,840,339.69
主供主表,2016/1/15,"1,520.00",647.77,860,340.55
主供主表,2016/1/16,660,648.43,370,340.92
主供主表,2016/1/17,780,649.21,380,341.3
主供主表,2016/1/18,"1,750.00",650.96,"1,030.00",342.34
主供主表,2016/1/19,"1,760.00",652.72,"1,070.00",343.4
主供主表,2016/1/20,"1,710.00",654.43,990,344.39
主供主表,2016/1/21,"1,670.00",656.1,990,345.39
主供主表,2016/1/22,"1,730.00",657.83,"1,060.00",346.44
主供主表,2016/1/23,860,658.69,460,346.9
主供主表,2016/1/24,440,659.13,190,347.09
主供主表,2016/1/25,"1,670.00",660.8,870,347.96
主供主表,2016/1/26,"1,840.00",662.65,"1,050.00",349.01
主供主表,2016/1/27,"1,330.00",663.97,860,349.87
主供主表,2016/1/28,"1,810.00",665.78,"1,160.00",351.03
主供主表,2016/1/29,"1,490.00",667.27,920,351.95
主供主表,2016/1/30,800,668.07,380,352.33
主供主表,2016/1/31,710,668.78,360,352.69
主供主表,2016/2/1,"1,670.00",670.46,"1,060.00",353.75
主供主表,2016/2/2,"1,630.00",672.08,"1,030.00",354.78
主供主表,2016/2/3,"1,180.00",673.26,790,355.57
主供主表,2016/2/4,"1,140.00",674.4,820,356.39
主供主表,2016/2/5,290,674.69,190,356.58
主供主表,2016/2/6,250,674.94,150,356.73
主供主表,2016/2/7,230,675.18,150,356.88
主供主表,2016/2/8,240,675.41,140,357.02
主供主表,2016/2/9,230,675.64,140,357.16
主供主表,2016/2/10,240,675.88,130,357.3
主供主表,2016/2/11,230,676.11,140,357.43
主供主表,2016/2/12,220,676.33,130,357.56
主供主表,2016/2/13,230,676.56,140,357.7
主供主表,2016/2/14,270,676.83,170,357.87
主供主表,2016/2/15,980,677.81,640,358.51
主供主表,2016/2/16,"1,260.00",679.07,690,359.2
主供主表,2016/2/17,"1,080.00",680.15,500,359.7
主供主表,2016/2/18,"1,110.00",681.26,580,360.28
主供主表,2016/2/19,"1,280.00",682.54,780,361.06
主供主表,2016/2/20,500,683.04,370,361.43
主供主表,2016/2/21,370,683.41,240,361.67
主供主表,2016/2/22,"1,250.00",684.66,810,362.48
主供主表,2016/2/23,"1,370.00",686.03,880,363.36
主供主表,2016/2/24,"1,300.00",687.33,730,364.09
主供主表,2016/2/25,"1,170.00",688.5,620,364.71
主供主表,2016/2/26,"1,200.00",689.7,680,365.39
主供主表,2016/2/27,560,690.26,360,365.75
主供主表,2016/2/28,390,690.65,220,365.97
主供主表,2016/2/29,860,691.51,500,366.47
主供主表,2016/3/1,"1,020.00",692.53,580,367.05
主供主表,2016/3/2,870,693.4,540,367.59
主供主表,2016/3/3,960,694.36,590,368.18
主供主表,2016/3/4,770,695.13,470,368.65
主供主表,2016/3/5,360,695.49,220,368.87
主供主表,2016/3/6,300,695.79,180,369.05
主供主表,2016/3/7,840,696.63,460,369.51
主供主表,2016/3/8,"1,080.00",697.71,640,370.16
主供主表,2016/3/9,950,698.66,520,370.67
主供主表,2016/3/10,"1,230.00",699.89,690,371.36
主供主表,2016/3/11,"1,140.00",701.03,610,371.97
主供主表,2016/3/12,450,701.48,270,372.24
主供主表,2016/3/13,330,701.81,240,372.48
主供主表,2016/3/14,800,702.61,460,372.94
主供主表,2016/3/15,850,703.46,530,373.47
主供主表,2016/3/16,820,704.28,390,373.86
主供主表,2016/3/17,900,705.18,530,374.39
主供主表,2016/3/18,790,705.97,490,374.88
主供主表,2016/3/19,320,706.29,150,375.03
主供主表,2016/3/20,310,706.6,190,375.22
主供主表,2016/3/21,790,707.4,510,375.73
主供主表,2016/3/22,740,708.13,430,376.16
主供主表,2016/3/23,850,708.98,480,376.64
主供主表,2016/3/24,700,709.68,360,377
主供主表,2016/3/25,750,710.43,390,377.39
主供主表,2016/3/26,470,710.9,330,377.72
主供主表,2016/3/27,340,711.24,180,377.9
主供主表,2016/3/28,620,711.86,300,378.2
主供主表,2016/3/29,730,712.59,440,378.64
主供主表,2016/3/30,770,713.36,430,379.07
主供主表,2016/3/31,750,714.11,440,379.51
主供主表,2016/4/1,500,714.61,290,379.8
主供主表,2016/4/2,210,714.82,140,379.94
主供主表,2016/4/3,190,715.01,150,380.09
主供主表,2016/4/4,180,715.19,140,380.23
主供主表,2016/4/5,500,715.69,230,380.46
主供主表,2016/4/6,420,716.11,220,380.68
主供主表,2016/4/7,360,716.47,180,380.86
主供主表,2016/4/8,300,716.77,100,380.96
主供主表,2016/4/9,210,716.98,120,381.08
主供主表,2016/4/10,220,717.2,110,381.19
主供主表,2016/4/11,300,717.5,110,381.3
主供主表,2016/4/12,280,717.78,110,381.41
主供主表,2016/4/13,300,718.08,130,381.54
主供主表,2016/4/14,350,718.43,140,381.68
主供主表,2016/4/15,340,718.77,140,381.82
主供主表,2016/4/16,250,719.02,180,382
主供主表,2016/4/17,210,719.23,130,382.13
主供主表,2016/4/18,320,719.55,120,382.25
主供主表,2016/4/19,310,719.86,110,382.36
主供主表,2016/4/20,300,720.16,100,382.46
主供主表,2016/4/21,290,720.45,110,382.57
主供主表,2016/4/22,360,720.81,110,382.68
主供主表,2016/4/23,240,721.05,120,382.81
主供主表,2016/4/24,220,721.27,120,382.92
主供主表,2016/4/25,300,721.57,120,383.04
主供主表,2016/4/26,280,721.85,100,383.14
主供主表,2016/4/27,310,722.16,110,383.25
主供主表,2016/4/28,310,722.47,120,383.37
主供主表,2016/4/29,250,722.72,110,383.48
主供主表,2016/4/30,180,722.9,120,383.6
主供主表,2016/5/1,200,723.1,120,383.72
主供主表,2016/5/2,230,723.33,130,383.85
主供主表,2016/5/3,300,723.63,120,383.97
主供主表,2016/5/4,340,723.97,130,384.1
主供主表,2016/5/5,320,724.29,140,384.24
主供主表,2016/5/6,290,724.58,120,384.36
主供主表,2016/5/7,200,724.78,110,384.47
主供主表,2016/5/8,190,724.97,110,384.58
主供主表,2016/5/9,290,725.26,150,384.73
主供主表,2016/5/10,280,725.54,110,384.84
主供主表,2016/5/11,290,725.83,100,384.94
主供主表,2016/5/12,280,726.11,100,385.04
主供主表,2016/5/13,280,726.39,110,385.15
主供主表,2016/5/14,190,726.58,120,385.27
主供主表,2016/5/15,160,726.74,110,385.38
主供主表,2016/5/16,280,727.02,110,385.49
主供主表,2016/5/17,190,727.21,100,385.59
主供主表,2016/5/18,150,727.36,120,385.71
主供主表,2016/5/19,140,727.5,110,385.82
主供主表,2016/5/20,120,727.62,100,385.92
主供主表,2016/5/21,100,727.72,110,386.03
主供主表,2016/5/22,90,727.81,100,386.13
主供主表,2016/5/23,100,727.91,110,386.24
主供主表,2016/5/24,100,728.01,90,386.33
主供主表,2016/5/25,100,728.11,110,386.44
主供主表,2016/5/26,90,728.2,120,386.56
主供主表,2016/5/27,110,728.31,120,386.68
主供主表,2016/5/28,100,728.41,130,386.81
主供主表,2016/5/29,110,728.52,110,386.92
主供主表,2016/5/30,90,728.61,110,387.03
主供主表,2016/5/31,110,728.72,100,387.13
主供主表,2016/6/1,110,728.83,130,387.26
主供主表,2016/6/2,90,728.92,110,387.37
主供主表,2016/6/3,100,729.02,120,387.49
主供主表,2016/6/4,90,729.11,110,387.6
主供主表,2016/6/5,110,729.22,100,387.7
主供主表,2016/6/6,100,729.32,110,387.81
主供主表,2016/6/7,100,729.42,110,387.92
主供主表,2016/6/8,100,729.52,110,388.03
主供主表,2016/6/9,110,729.63,100,388.13
主供主表,2016/6/10,90,729.72,90,388.22
主供主表,2016/6/11,100,729.82,90,388.31
主供主表,2016/6/12,110,729.93,110,388.42
主供主表,2016/6/13,120,730.05,100,388.52
主供主表,2016/6/14,120,730.17,90,388.61
主供主表,2016/6/15,130,730.3,100,388.71
主供主表,2016/6/16,110,730.41,100,388.81
主供主表,2016/6/17,160,730.57,100,388.91
主供主表,2016/6/18,150,730.72,120,389.03
主供主表,2016/6/19,170,730.89,130,389.16
主供主表,2016/6/20,170,731.06,140,389.3
主供主表,2016/6/21,280,731.34,190,389.49
主供主表,2016/6/22,350,731.69,240,389.73
主供主表,2016/6/23,320,732.01,220,389.95
主供主表,2016/6/24,450,732.46,270,390.22
主供主表,2016/6/25,510,732.97,290,390.51
主供主表,2016/6/26,330,733.3,190,390.7
主供主表,2016/6/27,340,733.64,240,390.94
主供主表,2016/6/28,400,734.04,260,391.2
主供主表,2016/6/29,380,734.42,250,391.45
主供主表,2016/6/30,460,734.88,280,391.73
主供主表,2016/7/1,380,735.26,210,391.94
主供主表,2016/7/2,450,735.71,240,392.18
主供主表,2016/7/3,550,736.26,290,392.47
