month,date,hour,peak_flat_valley,power_num,id,lstm
7,13,0,0,13116,40843,13142.371236205101
7,13,1,0,13613,40844,13639.988247871399
7,13,2,0,14283,40845,14317.323292315006
7,13,3,0,14290,40846,14322.259951651096
7,13,4,0,14406,40847,14436.34842467308
7,13,5,0,14281,40848,14315.744261562824
7,13,6,0,14147,40849,14182.439579486847
7,13,7,0,13321,40850,13355.830110132694
7,13,8,1,12766,40851,12798.080386340618
7,13,9,1,11657,40852,11691.438040852547
7,13,10,1,11457,40853,11489.479657530785
7,13,11,1,12201,40854,12236.376083314419
7,13,12,1,11423,40855,11459.164717912674
7,13,13,1,11490,40856,11515.071509599686
7,13,14,2,11310,40857,11346.639520347118
7,13,15,2,11629,40858,11663.762113273144
7,13,16,2,12791,40859,12825.667033910751
7,13,17,1,13808,40860,13844.976024448872
7,13,18,1,14207,40861,14242.707962214947
7,13,19,2,13575,40862,13611.900932013988
7,13,20,2,13317,40863,13353.638373434544
7,13,21,2,13272,40864,13312.757757425308
7,13,22,1,13549,40865,13586.721343517303
7,13,23,1,14226,40866,14259.937253415585
7,14,0,0,13955,40867,13986.759681522846
7,14,1,0,13932,40868,13959.027735114098
7,14,2,0,13926,40869,13957.875847935677
7,14,3,0,14498,40870,14530.986985087395
7,14,4,0,14466,40871,14500.589767813683
7,14,5,0,14818,40872,14849.463658154013
7,14,6,0,14904,40873,14939.498171031477
7,14,7,0,12729,40874,12760.963535428047
7,14,8,1,11379,40875,11406.2593100667
7,14,9,1,10757,40876,10797.436169207096
7,14,10,1,10333,40877,10376.397772550583
7,14,11,1,10444,40878,10480.6759480834
7,14,12,1,10296,40879,10332.740723311901
7,14,13,1,10044,40880,10079.913741767406
7,14,14,2,11199,40881,11228.540449261665
7,14,15,2,10888,40882,10933.078762114048
7,14,16,2,11358,40883,11388.424315273762
7,14,17,1,11492,40884,11533.60411387682
7,14,18,1,11623,40885,11662.521821379662
7,14,19,2,11969,40886,12007.159287750721
7,14,20,2,12111,40887,12149.791980206966
7,14,21,2,11583,40888,11621.303341805935
7,14,22,1,11371,40889,11404.719667553902
7,14,23,1,12244,40890,12274.741103768349
7,15,0,0,12243,40891,12279.594610154629
7,15,1,0,12704,40892,12728.16363555193
7,15,2,0,12694,40893,12724.42700457573
7,15,3,0,12765,40894,12793.228630542755
7,15,4,0,12978,40895,13007.608313977718
7,15,5,0,12555,40896,12588.700383424759
7,15,6,0,12166,40897,12196.005763828754
7,15,7,0,11362,40898,11397.293671488762
7,15,8,1,8149,40899,8217.611087232828
7,15,9,1,6267,40900,6356.114893223159
7,15,10,1,6442,40901,6533.5026876702905
7,15,11,1,7098,40902,7176.357376769185
7,15,12,1,6540,40903,6633.837991029024
7,15,13,1,7782,40904,7815.122363090515
7,15,14,2,8165,40905,8226.622678756714
7,15,15,2,8441,40906,8497.284217447042
7,15,16,2,7791,40907,7879.446093298495
7,15,17,1,8849,40908,8892.141470208764
7,15,18,1,9455,40909,9512.226146355271
7,15,19,2,10432,40910,10463.594581604004
