数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,总,尖,峰,平,谷
2013/6/24,武汉金运激光股份有限公司,500,001086,60,5.2,1362.65,0,543.6,788.99,30
2013/6/25,武汉金运激光股份有限公司,500,001086,60,5.2,1970.98,0,490.79,794.41,685.81
2013/6/26,武汉金运激光股份有限公司,500,001086,60,5.2,2057.93,0,521.99,797.99,737.99
2013/6/27,武汉金运激光股份有限公司,500,001086,60,5.2,1427.99,0,552.01,764.38,111.59
2013/6/28,武汉金运激光股份有限公司,500,001086,60,5.2,1366.87,0,567.59,738.01,61.2
2013/6/29,武汉金运激光股份有限公司,500,001086,60,5.2,1780.78,0,435.6,709.19,636
2013/6/30,武汉金运激光股份有限公司,500,001086,60,5.2,197.4,0,20.39,25.81,151.2
2013/7/1,武汉金运激光股份有限公司,500,001086,60,5.2,712.79,0,191.99,490.78,30
2013/7/2,武汉金运激光股份有限公司,500,001086,60,5.2,1373.38,0,470.4,847.21,55.81
2013/7/3,武汉金运激光股份有限公司,500,001086,60,5.2,2068.24,0,550.79,976.2,541.2
2013/7/4,武汉金运激光股份有限公司,500,001086,60,5.2,2243.38,0,583.79,1009.22,650.39
2013/7/5,武汉金运激光股份有限公司,500,001086,60,5.2,1701.62,0,592.81,971.39,137.4
2013/7/6,武汉金运激光股份有限公司,500,001086,60,5.2,1375.78,0,468.6,697.18,210
2013/7/7,武汉金运激光股份有限公司,500,001086,60,5.2,81.56,0,18.59,33.6,29.38
2013/7/8,武汉金运激光股份有限公司,500,001086,60,5.2,945.64,0,332.4,567.01,46.2
2013/7/9,武汉金运激光股份有限公司,500,001086,60,5.2,1930.84,0,534.01,934.8,462.01
2013/7/10,武汉金运激光股份有限公司,500,001086,60,5.2,1914.49,0,251.99,918.6,743.99
2013/7/11,武汉金运激光股份有限公司,500,001086,60,5.2,2471.42,0,637.79,1057.79,775.81
2013/7/12,武汉金运激光股份有限公司,500,001086,60,5.2,2734.8,0,647.4,1125.02,962.4
2013/7/13,武汉金运激光股份有限公司,500,001086,60,5.2,2217.59,0,584.39,738.57,894.58
2013/7/14,武汉金运激光股份有限公司,500,001086,60,5.2,384.67,0,18,36,330.61
2013/7/15,武汉金运激光股份有限公司,500,001086,60,5.2,1512.53,0,580.79,895.81,36
2013/7/16,武汉金运激光股份有限公司,500,001086,60,5.2,1964.47,0,329.39,894.58,740.39
2013/7/17,武汉金运激光股份有限公司,500,001086,60,5.2,2368.12,0,615.6,1052.96,699.61
2013/7/18,武汉金运激光股份有限公司,500,001086,60,5.2,2411.42,0,567.61,1048.82,795
2013/7/19,武汉金运激光股份有限公司,500,001086,60,5.2,2114.41,0,545.39,826.84,742.18
2013/7/20,武汉金运激光股份有限公司,500,001086,60,5.2,1940.33,0,506.39,735.52,698.41
2013/7/21,武汉金运激光股份有限公司,500,001086,60,5.2,444.67,0,20.42,31.2,393.01
2013/7/22,武汉金运激光股份有限公司,500,001086,60,5.2,1486.75,0,525.58,925.84,35.39
2013/7/23,武汉金运激光股份有限公司,500,001086,60,5.2,1800.64,0,300.58,797.99,701.98
2013/7/24,武汉金运激光股份有限公司,500,001086,60,5.2,746.3,0,176.42,524.41,45.61
2013/7/25,武汉金运激光股份有限公司,500,001086,60,5.2,565.84,0,140.98,380.39,44.38
2013/7/26,武汉金运激光股份有限公司,500,001086,60,5.2,618.04,0,131.42,432.01,54.61
2013/7/27,武汉金运激光股份有限公司,500,001086,60,5.2,465.58,0,135.58,287.37,42.59
2013/7/28,武汉金运激光股份有限公司,500,001086,60,5.2,109.86,0,28.21,43.18,38.41
2013/7/29,武汉金运激光股份有限公司,500,001086,60,5.2,761.36,0,183.57,534.64,43.21
2013/7/30,武汉金运激光股份有限公司,500,001086,60,5.2,728.9,0,150.61,534.61,43.79
2013/7/31,武汉金运激光股份有限公司,500,001086,60,5.2,869.47,0,225.58,592.82,50.98
2013/8/1,武汉金运激光股份有限公司,500,001086,60,5.2,721.81,0,157.82,520.78,43.21
2013/8/2,武汉金运激光股份有限公司,500,001086,60,5.2,769.75,0,176.98,550.75,42.01
2013/8/3,武汉金运激光股份有限公司,500,001086,60,5.2,632.46,0,191.39,400.81,40.19
2013/8/4,武汉金运激光股份有限公司,500,001086,60,5.2,120.58,0,30.61,47.99,41.98
2013/8/5,武汉金运激光股份有限公司,500,001086,60,5.2,937.79,0,220.19,670.22,47.4
2013/8/6,武汉金运激光股份有限公司,500,001086,60,5.2,661.75,0,187.79,432.62,41.39
2013/8/7,武汉金运激光股份有限公司,500,001086,60,5.2,1040.45,0,267.01,721.78,51.62
2013/8/8,武汉金运激光股份有限公司,500,001086,60,5.2,739.16,0,201,466.23,71.98
2013/8/9,武汉金运激光股份有限公司,500,001086,60,5.2,984.02,0,226.78,696.56,60.61
2013/8/10,武汉金运激光股份有限公司,500,001086,60,5.2,698.96,0,223.79,426,49.19
2013/8/11,武汉金运激光股份有限公司,500,001086,60,5.2,206.36,0,46.81,106.23,53.41
2013/8/12,武汉金运激光股份有限公司,500,001086,60,5.2,1243.24,0,409.19,789.58,44.38
