month,date,hour,peak_flat_valley,power_num,price
5,25,16,3,13607.382,11733.646
5,25,17,3,14919.727,12865.281
5,25,18,2,15549.743,13408.544
5,25,19,2,15367.428,8326.072
5,25,20,3,15469.06,8381.137
5,25,21,3,15868.039,13683.01
5,25,22,3,16541.047,14263.345
5,25,23,2,16807.885,14493.439
5,25,24,2,16384.391,8877.063
5,26,1,1,15928.043,8629.814
5,26,2,1,16649.624,4104.132
5,26,3,1,16794.164,4139.761
5,26,4,1,16715.813,4120.448
5,26,5,1,16380.782,4037.863
5,26,6,1,16441.576,4052.848
5,26,7,1,16152.026,3981.474
5,26,8,1,15775.923,3888.765
5,26,9,2,15653.391,3858.561
5,26,10,2,15210.003,8240.78
5,26,11,2,15731.93,8523.56
5,26,12,2,15702.611,8507.675
5,26,13,2,15627.518,8466.989
5,26,14,2,15028.706,8142.553
5,26,15,3,16334.301,8849.924
5,26,16,3,16792.434,14480.115
5,26,17,3,17582.835,15161.678
5,26,18,2,18088.198,15597.453
5,26,19,2,18322.937,9927.367
5,26,20,3,18121.731,9818.354
5,26,21,3,18458.608,15916.858
5,26,22,3,18153.726,15653.958
5,26,23,2,17675.219,15241.341
5,26,24,2,18250.157,9887.935
5,27,1,1,18125.366,9820.323
5,27,2,1,18441.926,4545.935
5,27,3,1,18087.186,4458.491
5,27,4,1,18161.366,4476.777
5,27,5,1,18032.616,4445.04
5,27,6,1,18118.554,4466.224
5,27,7,1,17845.559,4398.93
5,27,8,1,17664.749,4354.361
5,27,9,2,15657.229,3859.507
5,27,10,2,14620.101,7921.171
5,27,11,2,14024.389,7598.414
5,27,12,2,14437.745,7822.37
5,27,13,2,14680.062,7953.657
5,27,14,2,15055.308,8156.966
5,27,15,3,15608.316,8456.586
5,27,16,3,16206.259,13974.657
5,27,17,3,17034.317,14688.692
5,27,18,2,17357.894,14967.712
5,27,19,2,17964.775,9733.315
5,27,20,3,18161.37,9839.83
5,27,21,3,18858.013,16261.265
5,27,22,3,19269.479,16616.072
5,27,23,2,18953.684,16343.762
5,27,24,2,19057.34,10325.267
5,28,1,1,18400.906,9969.611
5,28,2,1,17237.488,4249.041
5,28,3,1,17294.951,4263.205
5,28,4,1,17151.448,4227.832
5,28,5,1,17167.374,4231.758
5,28,6,1,17763.403,4378.679
5,28,7,1,18142.292,4472.075
5,28,8,1,17878.214,4406.98
5,28,9,2,16828.28,4148.171
5,28,10,2,16180.959,8766.844
5,28,11,2,15813.079,8567.526
5,28,12,2,15940.121,8636.357
5,28,13,2,15574.785,8438.418
5,28,14,2,16014.039,8676.407
5,28,15,3,17085.532,9256.941
5,28,16,3,17631.562,15203.696
5,28,17,3,18351.437,15824.444
5,28,18,2,19035.731,16414.511
5,28,19,2,19993.214,10832.323
5,28,20,3,19904.635,10784.331
5,28,21,3,20296.875,17501.995
5,28,22,3,20217.862,17433.863
5,28,23,2,20132.344,17360.121
5,28,24,2,20108.347,10894.703
5,29,1,1,19097.715,10347.142
5,29,2,1,18390.941,4533.367
5,29,3,1,18155.884,4475.425
5,29,4,1,17963.267,4427.945
5,29,5,1,18355.4,4524.606
5,29,6,1,18266.127,4502.6
5,29,7,1,17573.872,4331.959
5,29,8,1,15072.816,3715.449
5,29,9,2,13070.904,3221.978
5,29,10,2,12553.243,6801.347
5,29,11,2,11115.362,6022.303
5,29,12,2,11107.657,6018.128
5,29,13,2,10948.608,5931.956
5,29,14,2,10636.175,5762.68
5,29,15,3,11261.395,6101.424
5,29,16,3,11909.351,10269.434
5,29,17,3,12984.757,11196.756
5,29,18,2,12827.29,11060.972
5,29,19,2,12124.04,6568.805
5,29,20,3,11568.574,6267.853
5,29,21,3,11411.929,9840.506
5,29,22,3,11513.373,9927.982
5,29,23,2,12147.723,10474.982
5,29,24,2,12709.721,6886.127
5,30,1,1,13182.051,7142.035
5,30,2,1,13266.307,3270.145
5,30,3,1,12654.357,3119.299
5,30,4,1,12719.903,3135.456
5,30,5,1,13224.471,3259.832
5,30,6,1,12958.355,3194.234
5,30,7,1,12731.41,3138.292
5,30,8,1,12171.898,3000.373
5,30,9,2,11780.422,2903.874
5,30,10,2,10813.57,5858.792
5,30,11,2,11352.487,6150.777
5,30,12,2,10465.721,5670.327
5,30,13,2,11030.552,5976.353
5,30,14,2,11401.618,6177.397
5,30,15,3,10683.285,5788.204
5,30,16,3,11348.066,9785.437
5,30,17,3,12325.231,10628.047
5,30,18,2,12511.983,10789.083
5,30,19,2,12299.678,6663.966
5,30,20,3,12618.423,6836.662
5,30,21,3,12666.924,10922.688
5,30,22,3,13269.534,11442.319
5,30,23,2,13174.83,11360.656
5,30,24,2,13057.906,7074.774
5,31,1,1,13327.573,7220.879
5,31,2,1,13485.486,3324.172
5,31,3,1,13709.68,3379.436
5,31,4,1,13486.689,3324.469
5,31,5,1,13612.55,3355.493
5,31,6,1,12566.711,3097.694
5,31,7,1,11581.126,2854.747
5,31,8,1,9995.882,2463.985
5,31,9,2,9825.058,2421.877
5,31,10,2,10890.989,5900.738
5,31,11,2,10558.253,5720.462
5,31,12,2,10817.322,5860.825
5,31,13,2,12718.653,6890.966
5,31,14,2,13638.835,7389.521
5,31,15,3,14343.829,7771.487
5,31,16,3,15400.421,13279.783
5,31,17,3,15198.774,13105.903
5,31,18,2,16395.282,14137.652
5,31,19,2,17317.665,9382.711
5,31,20,3,17504.595,9483.99
5,31,21,3,17974.855,15499.718
5,31,22,3,18425.286,15888.124
5,31,23,2,19326.482,16665.226
5,31,24,2,19432.59,10528.577
6,1,1,1,19327.435,10471.605
6,1,2,1,19259.313,4747.421
6,1,3,1,19276.402,4751.633
6,1,4,1,19213.93,4736.234
6,1,5,1,19577.391,4825.827
6,1,6,1,19600.442,4831.509
6,1,7,1,19364.477,4773.344
6,1,8,1,18777.669,4628.695
6,1,9,2,17792.3,4385.802
6,1,10,2,16099.775,8722.858
6,1,11,2,15479.945,8387.034
6,1,12,2,15703.031,8507.902
6,1,13,2,16212.329,8783.84
6,1,14,2,16809.746,9107.521
6,1,15,3,16559.803,8972.102
6,1,16,3,17031.882,14686.592
6,1,17,3,17586.271,15164.642
6,1,18,2,18666.432,16096.064
6,1,19,2,18898.638,10239.282
6,1,20,3,18420.154,9980.039
6,1,21,3,18246.505,15733.962
6,1,22,3,18457.329,15915.755
6,1,23,2,18694.717,16120.454
6,1,24,2,18621.166,10088.948
6,2,1,1,18331.586,9932.053
6,2,2,1,18502.509,4560.868
6,2,3,1,18337.182,4520.115
