month,date,hour,peak_flat_valley,real,pred
8.0,11.0,11.0,2.0,16109.227,16330.251
8.0,11.0,12.0,2.0,15423.655,15994.784
8.0,11.0,13.0,2.0,15070.644,15778.627
8.0,11.0,14.0,2.0,15008.233,15703.608
8.0,11.0,15.0,3.0,15558.803,15724.215
8.0,11.0,16.0,3.0,16365.19,16071.537
8.0,11.0,17.0,3.0,17100.275,16468.188
8.0,11.0,18.0,2.0,15799.605,16347.901
8.0,11.0,19.0,2.0,16109.557,16419.385
8.0,11.0,20.0,3.0,15587.245,16052.632
8.0,11.0,21.0,3.0,15420.756,15975.953
8.0,11.0,22.0,3.0,16311.046,16329.687
8.0,11.0,23.0,2.0,16112.324,16585.594
8.0,11.0,24.0,2.0,15983.958,16601.275
8.0,12.0,1.0,1.0,15632.035,16506.008
8.0,12.0,2.0,1.0,16424.438,16498.627
8.0,12.0,3.0,1.0,16140.976,16297.509
8.0,12.0,4.0,1.0,16237.697,16205.538
8.0,12.0,5.0,1.0,16189.239,16127.74
8.0,12.0,6.0,1.0,16591.89,16216.312
8.0,12.0,7.0,1.0,16342.204,16175.636
8.0,12.0,8.0,1.0,15665.999,15967.769
8.0,12.0,9.0,2.0,14915.77,15523.939
8.0,12.0,10.0,2.0,13692.097,15118.049
8.0,12.0,11.0,2.0,13397.81,14986.698
8.0,12.0,12.0,2.0,14699.379,15326.697
8.0,12.0,13.0,2.0,14663.432,15413.528
8.0,12.0,14.0,2.0,16905.68,16175.089
8.0,12.0,15.0,3.0,16274.085,16028.181
8.0,12.0,16.0,3.0,16308.136,16100.403
8.0,12.0,17.0,3.0,17234.164,16519.918
8.0,12.0,18.0,2.0,18118.822,17230.03
8.0,12.0,19.0,2.0,18846.752,17774.277
8.0,12.0,20.0,3.0,19058.574,17840.936
8.0,12.0,21.0,3.0,18548.775,17739.447
8.0,12.0,22.0,3.0,18882.348,17893.367
8.0,12.0,23.0,2.0,19168.13,18388.213
8.0,12.0,24.0,2.0,18698.197,18414.184
8.0,13.0,1.0,1.0,18500.594,18447.87
8.0,13.0,2.0,1.0,19198.455,18571.479
8.0,13.0,3.0,1.0,18721.494,18420.895
8.0,13.0,4.0,1.0,18665.229,18330.174
8.0,13.0,5.0,1.0,17764.924,17956.314
8.0,13.0,6.0,1.0,17636.447,17727.934
8.0,13.0,7.0,1.0,17457.615,17530.045
8.0,13.0,8.0,1.0,14874.504,16514.803
8.0,13.0,9.0,2.0,14198.658,15678.777
8.0,13.0,10.0,2.0,13923.785,15349.251
8.0,13.0,11.0,2.0,14075.365,15296.392
8.0,13.0,12.0,2.0,12684.484,14929.885
8.0,13.0,13.0,2.0,12712.037,14897.92
8.0,13.0,14.0,2.0,13669.313,15159.573
8.0,13.0,15.0,3.0,13449.32,15068.255
8.0,13.0,16.0,3.0,14642.477,15479.187
8.0,13.0,17.0,3.0,15589.796,15898.398
8.0,13.0,18.0,2.0,16916.445,16645.043
8.0,13.0,19.0,2.0,18061.588,17273.996
8.0,13.0,20.0,3.0,17193.016,16897.412
8.0,13.0,21.0,3.0,16482.742,16583.477
8.0,13.0,22.0,3.0,17257.096,16851.398
8.0,13.0,23.0,2.0,18295.027,17614.277
8.0,13.0,24.0,2.0,19583.246,18391.643
8.0,14.0,1.0,1.0,19882.879,18843.727
8.0,14.0,2.0,1.0,20702.564,19245.27
8.0,14.0,3.0,1.0,20801.713,19497.377
8.0,14.0,4.0,1.0,20416.703,19557.318
8.0,14.0,5.0,1.0,20023.371,19515.328
8.0,14.0,6.0,1.0,19291.707,19283.484
8.0,14.0,7.0,1.0,20186.83,19489.824
8.0,14.0,8.0,1.0,19810.176,19459.39
8.0,14.0,9.0,2.0,16240.926,17770.293
