hour,peak_flat_valley,real,pred
10,2,16214.576,16490.016
11,2,16972.33,16354.321
12,2,17205.281,16407.168
13,2,16759.078,16309.004
14,2,16840.027,16320.731
15,3,17671.373,16637.143
16,3,18452.012,17207.621
17,3,18510.543,17589.143
18,2,18032.012,17719.076
19,2,19509.658,18288.281
20,3,20142.342,18671.95
21,3,19850.826,18808.066
22,3,20095.42,18951.969
23,2,19875.586,19072.562
24,2,19699.146,18978.545
1,1,19016.283,18587.238
2,1,19757.512,18615.77
3,1,19893.39,18662.469
4,1,19576.02,18615.861
5,1,18925.56,18445.459
6,1,19281.812,18419.988
7,1,19173.477,18373.133
8,1,17541.05,17928.11
9,2,16302.967,16964.701
10,2,14694.536,15753.921
11,2,14142.143,14931.741
12,2,13932.091,14674.3
13,2,13970.809,14770.766
14,2,15071.764,15218.822
15,3,15725.612,15719.827
16,3,16578.582,16278.993
17,3,17498.361,16911.295
18,2,18866.873,17863.807
19,2,19423.572,18637.344
20,3,19305.771,18858.77
21,3,19229.092,18905.617
22,3,18952.078,18784.494
23,2,19413.035,18967.357
24,2,19597.371,19009.715
1,1,18174.66,18377.78
2,1,18871.633,18295.006
3,1,18041.719,18047.152
4,1,18463.088,18001.482
5,1,18397.545,17945.877
6,1,18966.127,18051.482
7,1,19070.465,18135.168
8,1,18754.752,18100.428
9,2,18265.482,17687.795
10,2,16461.873,16880.355
11,2,16781.205,16501.682
12,2,16837.512,16332.648
13,2,15086.943,15611.151
14,2,14396.179,15091.882
15,3,14954.869,15244.564
16,3,16470.47,15946.378
17,3,17592.877,16718.496
18,2,17437.736,17105.744
19,2,18397.994,17705.576
20,3,19071.58,18241.352
21,3,18966.592,18513.953
22,3,18094.512,18302.697
23,2,18063.367,18252.926
24,2,18397.51,18269.984
1,1,18588.055,18110.959
2,1,18027.652,17951.664
3,1,17237.936,17630.486
4,1,17468.148,17476.39
5,1,17206.29,17271.33
6,1,17988.598,17363.992
7,1,17987.975,17417.348
8,1,18069.15,17470.916
9,2,17330.006,17034.852
10,2,16031.758,16322.48
11,2,15497.257,15718.601
12,2,15884.704,15598.968
13,2,15730.954,15557.311
14,2,15408.32,15496.365
15,3,15545.835,15628.802
16,3,15550.47,15810.958
17,3,17017.383,16464.541
18,2,18075.314,17237.121
19,2,19306.346,18183.035
20,3,19261.361,18605.625
21,3,19247.312,18815.133
22,3,19914.951,19127.373
23,2,20141.756,19436.268
24,2,20019.885,19398.049
