数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,在线情况,总,尖,峰,平,谷
2013/7/19,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2634.06,0,690,1734.06,210
2013/7/20,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1457.76,0,378,911.82,167.94
2013/7/21,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,600,0,150,240.06,209.94
2013/7/22,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1692.18,0,396,1098,198
2013/7/23,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1841.88,0,509.94,1151.94,179.94
2013/7/24,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1853.88,0,497.94,1200,156
2013/7/25,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1980.12,0,510,1295.94,174
2013/7/26,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1998,0,497.94,1313.94,185.94
2013/7/27,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,887.94,0,209.94,516.06,161.94
2013/7/28,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,515.88,0,156,216.06,143.94
2013/7/29,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2237.94,0,803.94,1271.88,162
2013/7/30,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2610,0,762,1674,173.94
2013/7/31,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2975.94,0,846,1974,156
2013/8/1,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,3084.06,0,1050,1824,210
2013/8/2,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2519.82,0,774,1595.94,150
2013/8/3,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1746.06,0,515.94,1080,150
2013/8/4,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,737.94,0,228,365.88,143.94
2013/8/5,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2172.06,0,623.94,1392,156
2013/8/6,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2363.94,0,708,1500,156
2013/8/7,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2069.82,0,587.94,1307.94,173.94
2013/8/8,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2370.06,0,569.94,1596.06,203.94
2013/8/9,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2394.12,0,690,1541.88,162
2013/8/10,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1205.82,0,330,714.06,162
2013/8/11,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,696.06,0,162,407.94,125.94
2013/8/12,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2321.76,0,737.94,1439.94,144
2013/8/13,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2574,0,743.94,1637.94,192
2013/8/14,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2034.06,0,528,1296.06,209.94
2013/8/15,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2603.88,0,653.94,1793.94,156
2013/8/16,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2724,0,815.94,1721.88,185.94
2013/8/17,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1704.18,0,371.94,1170.06,161.94
2013/8/18,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,527.88,0,137.94,233.88,156
2013/8/19,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2375.94,0,678,1536,162
2013/8/20,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2346.06,0,630,1524,192
2013/8/21,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2429.88,0,647.94,1625.94,156
2013/8/22,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1770.06,0,390,1235.88,143.94
2013/8/23,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1697.7,0,486,1074,137.94
2013/8/24,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,672.06,0,197.94,360,114
2013/8/25,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,413.94,0,119.94,174,120
2013/8/26,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2346.06,0,744.06,1481.94,120
2013/8/27,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2675.94,0,701.94,1830,143.94
2013/8/28,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2063.94,0,492,1415.88,156
2013/8/29,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2316.18,0,665.94,1475.94,173.94
2013/8/30,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2009.76,0,509.94,1332.12,168
2013/8/31,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,2040.18,0,791.94,1043.94,203.94
2013/9/1,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1445.76,0,102,300,1043.94
2013/9/2,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,918.12,0,263.94,563.94,90
2013/9/3,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1529.88,0,426,1001.94,101.94
2013/9/4,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1325.94,0,378,840.06,107.94
2013/9/5,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,810,0,221.94,521.88,66
2013/9/6,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,750,0,251.94,443.94,53.94
2013/9/7,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,341.88,0,102,174,65.94
2013/9/8,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,204.18,0,53.94,89.94,60
2013/9/9,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1097.7,0,318,720.06,59.94
2013/9/10,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,756.12,0,228,455.82,71.94
2013/9/11,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,851.94,0,168,606,78
2013/9/12,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1110,0,300,726.12,84
2013/9/13,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1079.88,0,341.94,659.88,78
2013/9/14,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,780.12,0,215.94,486,78
2013/9/15,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,377.88,0,102,180,95.94
2013/9/16,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1734.06,0,515.94,1115.88,102
2013/9/17,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1812,0,474,1212,125.94
2013/9/18,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1374,0,359.94,912,101.94
2013/9/19,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,287.94,0,84,125.94,78
2013/9/20,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,300,0,78,150,71.94
2013/9/21,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,383.76,0,113.94,180,90
2013/9/22,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1662,0,426,1104,132
2013/9/23,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1830.12,0,600,1086,143.94
2013/9/24,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,809.76,0,197.94,467.82,143.94
2013/9/25,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,870.06,0,246,570.06,53.94
2013/9/26,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,594.12,0,185.94,353.88,54
2013/9/27,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,389.94,0,102,222.06,65.94
2013/9/28,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,281.82,0,90,131.94,60
2013/9/29,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,425.94,0,125.94,251.94,47.94
2013/9/30,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,450,0,108,281.94,60
2013/10/1,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,186,0,53.94,78.06,53.94
2013/10/2,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,180.12,0,47.94,77.88,54
2013/10/3,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,174,0,54,72.06,48
2013/10/4,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,179.88,0,53.94,77.88,47.94
2013/10/5,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,215.88,0,53.94,119.94,42
2013/10/6,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,294.12,0,90,144.12,60
2013/10/7,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,317.82,0,90,161.82,65.94
2013/10/8,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,522.06,0,143.94,312,65.94
2013/10/9,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,605.82,0,185.94,348,71.94
2013/10/10,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,678.18,0,209.94,407.94,60
2013/10/11,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,905.82,0,204,624,77.94
2013/10/12,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,1056.12,0,306,672.06,78
2013/10/13,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,665.88,0,197.94,395.94,71.94
2013/10/14,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,600,0,156,360,84
2013/10/15,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,437.94,0,113.94,257.94,65.94
2013/10/16,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,474,0,144.06,275.94,54
2013/10/17,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,437.94,0,137.94,239.94,59.94
2013/10/18,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,360,0,89.94,210,60
2013/10/19,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,198,0,60,89.94,48
2013/10/20,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,174,0,47.94,78.06,47.94
2013/10/21,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,437.94,0,114,263.94,60
2013/10/22,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,467.82,0,113.94,293.94,59.94
2013/10/23,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,389.94,0,125.94,210,54
2013/10/24,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,396.06,0,102,233.88,59.94
2013/10/25,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,437.94,0,125.94,258.06,54
2013/10/26,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,324,0,96,167.82,59.94
2013/10/27,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,167.82,0,41.94,78.06,48
2013/10/28,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,432.12,0,114,257.94,59.94
2013/10/29,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,479.88,0,143.94,263.94,71.94
2013/10/30,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,732.12,0,168,492,71.94
2013/10/31,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,672.06,0,323.94,287.94,60
2013/11/1,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,617.82,0,252,300,65.94
2013/11/2,武汉大族金石凯激光系统有限公司,500,06050139,600,5.2,在线,251.94,0,84,119.94,48
