数据日期,用户名称,运行容量,电能表号,综合倍率,表位数,总,尖,峰,平,谷
2013/5/20,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,767.97,0,0,0,0
2013/5/21,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,884.84,0,0,0,0
2013/5/22,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,982.42,0,0,0,0
2013/5/23,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1111.95,0,0,0,0
2013/5/24,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1113.59,0,0,0,0
2013/5/25,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,283.2,0,0,0,0
2013/5/26,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,248.04,0,0,0,0
2013/5/27,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,829.61,0,0,0,0
2013/5/28,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1042.34,0,0,0,0
2013/5/29,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,468.04,0,0,0,0
2013/5/30,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,404.76,0,0,0,0
2013/5/31,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,380,0,0,0,0
2013/6/1,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,272.02,0,0,0,0
2013/6/2,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,258.43,0,0,0,0
2013/6/3,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,890.31,0,0,0,0
2013/6/4,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,940.07,0,0,0,0
2013/6/5,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1069.53,0,0,0,0
2013/6/6,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,902.42,0,0,0,0
2013/6/7,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,798.35,0,0,0,0
2013/6/8,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,671.17,0,0,0,0
2013/6/9,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,594.45,0,0,0,0
2013/6/10,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,275.23,0,0,0,0
2013/6/11,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,320,0,0,0,0
2013/6/12,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,211.95,0,0,0,0
2013/6/13,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,802.42,0,0,0,0
2013/6/14,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,907.18,0,0,0,0
2013/6/15,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,276.01,0,0,0,0
2013/6/16,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,224.76,0,0,0,0
2013/6/17,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1370.38,0,0,0,0
2013/6/18,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1591.25,0,0,0,0
2013/6/19,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1458.35,0,0,0,0
2013/6/20,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1341.64,0,0,0,0
2013/6/21,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1456.79,0,0,0,0
2013/6/22,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,637.58,0,0,0,0
2013/6/23,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,303.28,0,0,0,0
2013/6/24,武钢激光拼焊(武汉)有限公司,3200,033178,80,5.1,1206.33,0,0,0,0
