hour,Peak_flat_valley,electric_charge,electric_charge
11,2,15813.079,8567.526
12,2,15940.121,8636.357
13,2,15574.785,8438.418
14,2,16014.039,8676.407
15,3,17085.532,9256.941
16,3,17631.562,15203.696
17,3,18351.437,15824.444
18,2,19035.731,16414.511
19,2,19993.214,10832.323
20,3,19904.635,10784.331
21,3,20296.875,17501.995
22,3,20217.862,17433.863
23,2,20132.344,17360.121
24,2,20108.347,10894.703
1,1,19097.715,10347.142
2,1,18390.941,4533.367
3,1,18155.884,4475.425
4,1,17963.267,4427.945
5,1,18355.4,4524.606
6,1,18266.127,4502.6
7,1,17573.872,4331.959
8,1,15072.816,3715.449
9,2,13070.904,3221.978
10,2,12553.243,6801.347
11,2,11115.362,6022.303
12,2,11107.657,6018.128
13,2,10948.608,5931.956
14,2,10636.175,5762.68
15,3,11261.395,6101.424
16,3,11909.351,10269.434
17,3,12984.757,11196.756
18,2,12827.29,11060.972
19,2,12124.04,6568.805
20,3,11568.574,6267.853
21,3,11411.929,9840.506
22,3,11513.373,9927.982
23,2,12147.723,10474.982
24,2,12709.721,6886.127
1,1,13182.051,7142.035
2,1,13266.307,3270.145
3,1,12654.357,3119.299
4,1,12719.903,3135.456
5,1,13224.471,3259.832
6,1,12958.355,3194.234
7,1,12731.41,3138.292
8,1,12171.898,3000.373
9,2,11780.422,2903.874
10,2,10813.57,5858.792
11,2,11352.487,6150.777
12,2,10465.721,5670.327
13,2,11030.552,5976.353
14,2,11401.618,6177.397
15,3,10683.285,5788.204
16,3,11348.066,9785.437
17,3,12325.231,10628.047
18,2,12511.983,10789.083
19,2,12299.678,6663.966
20,3,12618.423,6836.662
21,3,12666.924,10922.688
22,3,13269.534,11442.319
23,2,13174.83,11360.656
24,2,13057.906,7074.774
1,1,13327.573,7220.879
2,1,13485.486,3324.172
3,1,13709.68,3379.436
4,1,13486.689,3324.469
5,1,13612.55,3355.493
6,1,12566.711,3097.694
7,1,11581.126,2854.747
8,1,9995.882,2463.985
9,2,9825.058,2421.877
10,2,10890.989,5900.738
11,2,10558.253,5720.462
12,2,10817.322,5860.825
13,2,12718.653,6890.966
14,2,13638.835,7389.521
15,3,14343.829,7771.487
16,3,15400.421,13279.783
17,3,15198.774,13105.903
18,2,16395.282,14137.652
19,2,17317.665,9382.711
20,3,17504.595,9483.99
21,3,17974.855,15499.718
22,3,18425.286,15888.124
23,2,19326.482,16665.226
24,2,19432.59,10528.577
